State,Divorced_total_2014,Depression_total_2014,Poverty_rate,heart_attack_rate,Unemployment_rate,Dr_visit_within_last_year,Physical_activity,Id,state_,,,,,,,,,,,,,,,,,,,
AL,12.5,21.3,19.3,5.9,8.6,72.1,72.4,1,Alabama,,,,,,,,,,,,,,,,,,,
AK,11.8,15.6,11.2,3.3,7.6,57.8,80.8,2,Alaska,,,,,,,,,,,,,,,,,,,
AZ,12.3,18.7,18.2,4.4,7.9,63.9,78.8,4,Arizona,,,,,,,,,,,,,,,,,,,
AR,12.9,21.5,18.9,6.7,6.8,66.1,69.4,5,Arkansas,,,,,,,,,,,,,,,,,,,
CA,9.6,13.3,16.4,3.5,8.5,66.6,78.3,6,California,,,,,,,,,,,,,,,,,,,
CO,12.2,17,12,3.1,5.5,62.7,83.6,8,Colorado,,,,,,,,,,,,,,,,,,,
CT,11.1,18.3,10.8,3.7,7.9,72,79.4,9,Connecticut,,,,,,,,,,,,,,,,,,,
DE,12.2,18.3,12.5,5,6.7,74,75.1,10,Delaware,,,,,,,,,,,,,,,,,,,
DC,9,18.1,17.7,2.6,8.9,74,79.2,11,District of Columbia,,,,,,,,,,,,,,,,,,,
FL,13,16.2,16.5,5.3,8,73,76.3,12,Florida,,,,,,,,,,,,,,,,,,,
GA,11.3,18.3,18.3,4.5,8.3,71.7,76.4,13,Georgia,,,,,,,,,,,,,,,,,,,
HI,9.6,10.7,11.4,3.1,5.4,67.6,80.4,15,Hawaii,,,,,,,,,,,,,,,,,,,
ID,11.8,19.5,14.8,3.7,5.5,58,81.3,16,Idaho,,,,,,,,,,,,,,,,,,,
IL,10,16.7,14.4,3.7,8.1,69.2,76.1,17,Illinois,,,,,,,,,,,,,,,,,,,
IN,12.9,20.7,15.2,5,7.1,65.1,73.9,18,Indiana,,,,,,,,,,,,,,,,,,,
IA,10.6,18.7,12.2,4.4,4.4,71,77.4,19,Iowa,,,,,,,,,,,,,,,,,,,
KS,11.6,18.6,13.6,4.2,5.2,67.8,76.2,20,Kansas,,,,,,,,,,,,,,,,,,,
KY,13.1,23.9,19.1,6.8,7.6,71.9,71.8,21,Kentucky,,,,,,,,,,,,,,,,,,,
LA,12,18.7,19.8,5.2,7.5,75.5,70.5,22,Louisiana,,,,,,,,,,,,,,,,,,,
ME,14.6,23.7,14.1,5.5,5.9,71.8,80.3,23,Maine,,,,,,,,,,,,,,,,,,,
MD,10,15.9,10.1,3.2,7.2,74.7,78.6,24,Maryland,,,,,,,,,,,,,,,,,,,
MA,9.5,21.7,11.6,4.1,6.7,78.5,79.9,25,Massachusetts,,,,,,,,,,,,,,,,,,,
MI,11.8,20.5,16.2,5.2,8.3,71.8,74.5,26,Michigan,,,,,,,,,,,,,,,,,,,
MN,10.2,18.2,11.5,3.8,4.7,69.8,79.8,27,Minnesota,,,,,,,,,,,,,,,,,,,
MS,12.1,19.9,21.5,4.9,9.8,72.6,68.4,28,Mississippi,,,,,,,,,,,,,,,,,,,
MO,12.4,21.7,15.5,5.4,6.8,67,75,29,Missouri,,,,,,,,,,,,,,,,,,,
MT,12.7,20.4,15.4,4.2,4.9,63.6,80.4,30,Montana,,,,,,,,,,,,,,,,,,,
NE,10.7,17.7,12.4,3.8,4.2,63.3,78.7,31,Nebraska,,,,,,,,,,,,,,,,,,,
NV,14.2,15.6,15.2,4.8,8.9,63.8,77.5,32,Nevada,,,,,,,,,,,,,,,,,,,
NH,12.2,21,9.2,3.8,5.1,69.3,80.7,33,New Hampshire,,,,,,,,,,,,,,,,,,,
NJ,8.5,13.4,11.1,4.2,7.5,75.9,76.7,34,New Jersey,,,,,,,,,,,,,,,,,,,
NM,12.3,21.1,21.3,4.2,8.7,62,76.7,35,New Mexico,,,,,,,,,,,,,,,,,,,
NY,8.7,15.9,15.9,3.8,7.3,74.9,74.1,36,New York,,,,,,,,,,,,,,,,,,,
NC,10.9,19,17.2,5.1,8.3,75.6,76.8,37,North Carolina,,,,,,,,,,,,,,,,,,,
ND,9.4,17.3,11.5,4.6,3,64.3,78.7,38,North Dakota,,,,,,,,,,,,,,,,,,,
OH,12.3,20.9,15.8,5.4,7.2,70.7,75.1,39,Ohio,,,,,,,,,,,,,,,,,,,
OK,13.3,21.8,16.6,5.5,5.7,63.8,71.7,40,Oklahoma,,,,,,,,,,,,,,,,,,,
OR,13.5,24,16.6,4.6,7.8,62.5,83.5,41,Oregon,,,,,,,,,,,,,,,,,,,
PA,9.6,19.7,13.6,4.8,7,72.6,76.7,42,Pennsylvania,,,,,,,,,,,,,,,,,,,
RI,11.4,20.6,14.3,4.3,7.8,80.3,77.5,44,Rhode Island,,,,,,,,,,,,,,,,,,,
SC,11.1,19.9,18,4.6,8.1,67.7,74.7,45,South Carolina,,,,,,,,,,,,,,,,,,,
SD,10.4,16.6,14.2,5.1,3.9,69.6,78.8,46,South Dakota,,,,,,,,,,,,,,,,,,,
TN,12.6,21.4,18.3,5.7,7.8,74.5,73.2,47,Tennessee,,,,,,,,,,,,,,,,,,,
TX,10.9,14.6,17.2,3.7,6.1,67.6,72.4,48,Texas,,,,,,,,,,,,,,,,,,,
UT,9.1,20.7,11.7,2.9,5,58,83.2,49,Utah,,,,,,,,,,,,,,,,,,,
VT,12.3,21.8,12.2,3.8,5.5,67.6,81,50,Vermont,,,,,,,,,,,,,,,,,,,
VA,10.1,17.4,11.8,4.2,6.1,73.4,76.5,51,Virginia,,,,,,,,,,,,,,,,,,,
WA,12,21.6,13.2,3.8,6.5,64.1,81.9,53,Washington,,,,,,,,,,,,,,,,,,,
WV,13.3,23.6,18.3,7.4,6.9,77.2,71.3,54,West Virginia,,,,,,,,,,,,,,,,,,,
WI,11,17,13.2,3.7,5.3,69.9,78.8,55,Wisconsin,,,,,,,,,,,,,,,,,,,
WY,14,19,11.2,4.6,4.3,58.4,77.9,56,Wyoming,,,,,,,,,,,,,,,,,,,
PR,13.9,18.5,46.2,5.3,18.5,76.4,59.4,72,Puerto Rico,,,,,,,,,,,,,,,,,,,